,Objektart,MietpreisproMonat,MietpreisproMonat(exkl.NK),Nebenkosten,Wohnfläche,Zimmer,Geschoss,Baujahr,Verfügbarab,Balkon(e),Einstellplatz,Lift,Haustiereerlaubt,Kabel-TV,Kinderfreundlich,ÖV-Haltestelle,Autobahn,Kindergarten,Primarschule,Sekundarschule,Einkaufsmöglichkeit,rating,adress,publication_date,city,DateofScrapping,Aussenparkplatz,AltesGebäude,Nutzfläche,Hochparterre,Rollstuhlgängig,Neubau,Geschirrspülmaschine,Estrich,Cheminée,Toiletten,Minergie-zertifiziert,Kubatur,Raumhöhe,Mittelhaus,Wohnungen,Wasseranschluss,Swimmingpool,Möbliert,Grundstückfläche
17339224,Wohnung,1250,1070,180,,2,2.Stock,,01.05.2020,1,,,1,,,260m,,390m,370m,760m,140m,NaN,"Kleinmattstrasse 21, 6003 Luzern",,luzern,26.02.2020,,,,,,,,,,,,,,,,,,,
22990911,Wohnung,2490,2300,190,91,3.5,3.Stock,,16.03.2020,1,1,1,,1,1,,,,,,,NaN,"Bergstrasse 1, 6004 Luzern",20.02.2020,luzern,26.02.2020,1,,,,,,,,,,,,,,,,,,
22986184,Wohnung,1370,1150,220,69,3.5,,1955,15.05.2020,1,,,,1,1,,,,,,,6,"Langensandstrasse 46, 6005 Luzern",20.02.2020,luzern,26.02.2020,1,,,,,,,,,,,,,,,,,,
22990038,Wohnung,2750,2500,250,70,3,4.Stock,,,,,,,1,,200m,,,,,100m,NaN,"Reusssteg 10, 6003 Luzern",20.02.2020,luzern,26.02.2020,,,,,,,,,,,,,,,,,,,
22991669,Wohnung,1430,1220,210,75,3,1.Stock,1961,01.04.2020,1,,,,1,,50m,1000m,50m,50m,1000m,1000m,5,"Biregghofstrasse 15, 6005 Luzern",20.02.2020,luzern,26.02.2020,,,,,,,,,,,,,,,,,,,
22986533,Wohnung,1293,,,50,2.5,3.Stock,2010,01.04.2020,1,1,1,1,1,1,300m,400m,500m,500m,500m,200m,5,"Rothenpark 1, 6015 Luzern",,luzern,26.02.2020,1,,50,,1,,,,,,,,,,,,,,
22982779,Wohnung,1470,1290,180,85,3.5,2.Stock,,,1,1,1,,,1,300m,2000m,80m,80m,,500m,NaN,"Fluhmülerain 18, 6015 Luzern",19.02.2020,luzern,26.02.2020,1,,,,,,,,,,,,,,,,,,
22983422,Wohnung,1970,,,102,3.5,,,nachVereinbarung,,,,,,,,,,,,,NaN,"Cheerstrasse 13e, 6014 Luzern",19.02.2020,luzern,26.02.2020,,,,,,,,,,,,,,,,,,,
22990915,Wohnung,1490,1290,200,72,3,,,nachVereinbarung,1,,1,,,,100m,,,,,100m,NaN,"Voltastrasse 40, 6005 Luzern",20.02.2020,luzern,26.02.2020,,,,,,,,,,,,,,,,,,,
22991878,Wohnung,2095,1760,335,105,4.5,3.Stock,,16.04.2020,1,,,,1,,50m,,150m,600m,,150m,NaN,"Wesemlinhöheweg 1, 6006 Luzern",20.02.2020,luzern,26.02.2020,,,,,,,,,,,,,,,,,,,
