,Objektart,MietpreisproMonat,MietpreisproMonat(exkl.NK),Nebenkosten,Wohnfläche,Zimmer,Geschoss,Verfügbarab,Balkon(e),Lift,AltesGebäude,ÖV-Haltestelle,Einkaufsmöglichkeit,rating,adress,publication_date,city,DateofScrapping,Nutzfläche,Baujahr,Aussenparkplatz,Haustiereerlaubt,Kabel-TV,Kinderfreundlich,Kindergarten,Primarschule,Sekundarschule,Autobahn,Einstellplatz,Rollstuhlgängig,Minergie-zertifiziert,Cheminée,Kubatur,Hochparterre,Neubau,Wohnungen,Wasseranschluss,Toiletten,Mittelhaus,Möbliert,JährlicherMietpreisprom²,JährlicherMietpreisprom²(exkl.NK)
23009096,Wohnung,1500,,,,2,,nachVereinbarung,,,,,,NaN,3013 Bern BE,24.02.2020,bern,26.02.2020,,,,,,,,,,,,,,,,,,,,,,,,
23008832,Wohnung,790,,,73,1,1.Stock,nachVereinbarung,1,,,,,NaN,"Werkgasse 55, 3018 Bern BE",24.02.2020,bern,26.02.2020,,,,,1,,,,,,,,,,,,,,,,,,,
23009245,Wohnung,1590,,,,2.5,,nachVereinbarung,,,,,,NaN,3007 Bern BE,24.02.2020,bern,26.02.2020,,,,,,,,,,,,,,,,,,,,,,,,
23009092,Wohnung,513,,,,1,3.Stock,01.04.2020,1,,,,,NaN,3012 Bern BE,24.02.2020,bern,26.02.2020,,,,,,,,,,,,,,,,,,,,,,,,
23012360,Dachwohnung,1390,,,70,1.5,,01.04.2020,,,,,,NaN,"Papiermühlestrasse 10, 3013 Bern",24.02.2020,bern,26.02.2020,,,,,,,,,,,,,,,,,,,,,,,,
23001635,Dachwohnung,780,,,40,1.5,4.Stock,01.03.2020,,,,180m,170m,NaN,"Neufeldstrasse 141, 3012 Bern",,bern,26.02.2020,40,,,,,,370m,580m,,,,,,,,,,,,,,,,
23023375,Wohnung,1985,1785,200,89,3.5,2.Stock,01.04.2020,1,,,,,3,"Morgartenstrasse 21, 3014 Bern",23.02.2020,bern,26.02.2020,,1972,,1,1,1,,,,,,,,,,,,,,,,,,
23004548,Studio,1140,1050,90,35,1,Untergeschoss,01.05.2020,1,,1,150m,500m,NaN,"Steigerweg 26, 3006 Bern",,bern,26.02.2020,35,,,,1,1,700m,100m,,1500m,,,,,,,,,,,,,,
23003638,Wohnung,890,820,70,27,1,1.Stock,01.06.2020,,,,50m,550m,NaN,"Mühledorfstrasse 2, 3018 Bern",,bern,26.02.2020,,,,,1,,250m,350m,800m,4000m,1,,,,,,,,,,,,,
23003778,Wohnung,1960,1850,110,100,5,1.Stock,01.04.2020,,,1,30m,100m,4,"Freiburgstrasse 115, 3008 Bern",,bern,26.02.2020,100,1896,,,1,,300m,300m,1000m,400m,,,,,240m³,,,,,,,,,
