,Objektart,MietpreisproMonat,MietpreisproMonat(exkl.NK),Nebenkosten,Wohnfläche,Zimmer,Geschoss,Verfügbarab,Balkon(e),Lift,AltesGebäude,ÖV-Haltestelle,Einkaufsmöglichkeit,rating,adress,publication_date,city,DateofScrapping,Nutzfläche,Baujahr,Aussenparkplatz,Haustiereerlaubt,Kabel-TV,Kinderfreundlich,Kindergarten,Primarschule,Sekundarschule,Autobahn,Einstellplatz,Rollstuhlgängig,Minergie-zertifiziert,Cheminée,Kubatur,Hochparterre,Neubau,Wohnungen,Wasseranschluss,Toiletten,Mittelhaus,Möbliert,JährlicherMietpreisprom²,JährlicherMietpreisprom²(exkl.NK)
15824060,Wohnung,2650,2300,350,,3.5,1.Stock,sofort,1,,1,100m,500m,NaN,"Brunnadernstrasse 12a, 3006 Bern",,bern,26.02.2020,,,,,1,,,,,500m,,,,,,,,,,,,,,
22722271,Wohnung,1140,990,150,,1,1.Stock,01.03.2020,1,1,,,,NaN,"Nydeggstalden 20, 3011 Bern",10.01.2020,bern,26.02.2020,,1974,,,,,,,,,,,,,,,,,,,,,,
22937891,Wohnung,1700,1500,200,,3,,,,,,,,NaN,3014 Bern,10.01.2020,bern,26.02.2020,,,,,,,,,,,,,,,,,,,,,,,,
22716779,Wohnung,2690,2400,290,93,4.5,1.Stock,sofort,1,1,,,,NaN,"Dalmazirain 26, 3005 Bern",09.01.2020,bern,26.02.2020,,,,,1,,,,,,1,,,,,,,,,,,,,
22722868,Wohnung,2900,2375,525,131,4.5,,,,,,,,NaN,3027 Bern,10.01.2020,bern,26.02.2020,,,,,,,,,,,,,,,,,,,,,,,,
22713248,Wohnung,1500,,,,2,,nachVereinbarung,,,,,,NaN,3000 Bern BE,09.01.2020,bern,26.02.2020,,,,,,,,,,,,,,,,,,,,,,,,
22718754,Wohnung,625,,,16,1,2.Stock,nachVereinbarung,,,,,,NaN,"Marzilistrasse 19, 3005 Bern BE",10.01.2020,bern,26.02.2020,,1940,,,,,,,,,,,,,,,,,,,,,,
22723917,Wohnung,1470,1250,220,62,2.5,2.Stock,01.04.2020,,,,,,4,"Bolligenstr. 46C, 3006 Bern",10.01.2020,bern,26.02.2020,,1983,,1,,1,,,,,,,,,,,,,,,,,,
22724285,Maisonette,2910,2650,260,109,4.5,3.Stock,nachVereinbarung,1,1,,200m,200m,NaN,"Sennweg 6, 3012 Bern",10.01.2020,bern,26.02.2020,,1964,,1,1,1,600m,600m,800m,,1,,,,,,1,,,,,,,
22706892,Wohnung,aufAnfrage,,,,1,,nachVereinbarung,,,,,,NaN,3013 Bern BE,08.01.2020,bern,26.02.2020,,,,,,,,,,,,,,,,,,,,,,,,
22710869,Wohnung,3220,2900,320,117,4.5,1.Stock,,,,,,,NaN,3013 Bern,09.01.2020,bern,26.02.2020,,,,,,,,,,,,,,,,,,,,,,,,
22706318,Wohnung,1675,1435,240,70,3.5,,nachVereinbarung,1,,,100m,,NaN,"Lombachweg 9, 3006 Bern",,bern,26.02.2020,,,,,1,1,,,,,,,,1,,1,,,,,,,,
22707491,Wohnung,1690,1440,250,61,3,2.Stock,nachVereinbarung,,,,,,NaN,"Sonnenhofweg 11, 3006 Bern",08.01.2020,bern,26.02.2020,,,,,,,,,,,,,,,,,,,,,,,,
22807828,Wohnung,1450,1200,250,,3.5,,01.03.2020,1,,,270m,330m,NaN,"Holligenstrasse 72, 3008 Bern",,bern,26.02.2020,,1967,,,1,,650m,650m,650m,1000m,,,,,,1,,,,,,,,
22708977,Wohnung,1000,,,,1,2.Stock,sofort,1,,,,,NaN,"Mühlemattstrasse 48, 3007 Bern BE",09.01.2020,bern,26.02.2020,,,,,,,,,,,,,,,,,,,,,,,,
10531133,Wohnung,2790,2490,300,114,3.5,1.Stock,01.05.2020,1,,1,100m,100m,NaN,"Jubiläumsstrasse 97, 3005 Bern",,bern,26.02.2020,,,,,1,,,,,,1,,,,,,,,,,,,,
22748881,Wohnung,1790,1640,150,59,3,5.Stock,01.04.2020,,1,,,,NaN,"Mühledorfstrasse 4, 3018 Bern",09.01.2020,bern,26.02.2020,,,,,,,,,,,,,,,,,,,,,,,,
22835706,Wohnung,2160,1860,300,95,3.5,4.Stock,01.03.2020,,,,,,NaN,"Murtenstrasse 143 F, 3008 Bern",08.01.2020,bern,26.02.2020,,,,,,,,,,,,,,,,,,,,,,,,
22711254,Wohnung,3220,2900,320,117,4.5,1.Stock,01.04.2020,1,1,,200m,500m,3,"Lorrainestrasse 25, 3013 Bern",09.01.2020,bern,26.02.2020,,2017,,,,,200m,500m,500m,,,,,,,,,,,,,,,
22702206,Wohnung,1700,1550,150,59,3,2.Stock,sofort,,1,,,,NaN,"Mühledorfstrasse 4, 3018 Bern",,bern,26.02.2020,,,,,,,,,,,,,,,,,,,,,,,,
22696103,Wohnung,2198,1998,200,70,2.5,2.Stock,01.04.2020,,,,,,NaN,"Kramgasse 13, 3011 Bern",07.01.2020,bern,26.02.2020,,1900,,,,,,,,,,,,,,,,,,,,,,
22697866,Wohnung,2920,2770,150,130,3.5,4.Stock,01.03.2020,1,,,100m,100m,NaN,"Kramgasse 29, 3011 Bern",,bern,26.02.2020,,,,,,,,,,,,,,,,,,,,,,,,
22707454,Wohnung,2160,1860,300,95,3.5,4.Stock,01.03.2020,,,,,,NaN,"Murtenstrasse 143 F, 3008 Bern",08.01.2020,bern,26.02.2020,,,,,,,,,,,,,,,,,,,,,,,,
22936928,Wohnung,1350,1220,130,36,1.5,4.Stock,01.04.2020,1,,,50m,50m,NaN,"Flurstrasse 3, 3014 Bern",,bern,26.02.2020,,,,,,,,50m,,200m,,,,,,,,,,,,,,
22697752,Wohnung,1080,880,200,30,1.5,3.Stock,,,,,,,NaN,"Rodtmattstrasse 46, 3014 Bern",07.01.2020,bern,26.02.2020,,,,,1,,,,,,,,,,,,,,,,,,,
22697849,Wohnung,1700,1450,250,66,3.5,EG,nachVereinbarung,1,1,,100m,100m,4,"Reiterstrasse 9, 3013 Bern",,bern,26.02.2020,,1990,,1,1,1,,,,,,,,,,,,,,,,,,
22690402,Dachwohnung,2550,2250,300,115,3.5,3.Stock,sofort,1,,,300m,300m,NaN,"Bühlstrasse 25, 3012 Bern",,bern,26.02.2020,,,,,1,,,,,1000m,1,,,,,,,,,,,,,
22824955,Wohnung,650,500,150,,1,1.Stock,nachVereinbarung,1,,,,,NaN,3006 Bern BE,07.01.2020,bern,26.02.2020,,,1,1,1,,,,,,,,1,,,,,,,,,,,
22906085,Wohnung,1390,1230,160,,3,2.Stock,01.04.2020,1,,,100m,100m,NaN,"Frankenstrasse 28, 3018 Bern",,bern,26.02.2020,,,,,1,,,,,,,,,,,,1,,,,,,,
22679898,Wohnung,1880,1580,300,90,4,6.Stock,nachVereinbarung,,,,200m,50m,3,"Obermattstr. 18, 3018 Bern",03.01.2020,bern,26.02.2020,,1970,,1,1,1,500m,269m,3000m,3000m,,,,,,,,,,,,,,
22675401,Wohnung,1590,1390,200,55,2,3.Stock,01.03.2020,1,,,,,NaN,"Tscharnerstrasse 38, 3007 Bern BE",03.01.2020,bern,26.02.2020,,,,1,1,,,,,,,,,,,,,,,,,,,
22685481,Wohnung,1700,1500,200,85,3.5,,nachVereinbarung,,,,,,4,3014 Bern BE,06.01.2020,bern,26.02.2020,,1965,1,,,,,,,,,,,,,,,,,,,,,
22654425,Wohnung,3480,3080,400,115,4.5,6.Stock,,,,,,,NaN,3013 Bern,04.01.2020,bern,26.02.2020,,,,,,,,,,,,,,,,,,,,,,1,,
22917114,Dachwohnung,2450,,,105,3.5,2.Stock,01.03.2020,1,,,250m,250m,NaN,"Rabbentalstrasse 51, 3013 Bern",,bern,26.02.2020,,,,,1,1,250m,350m,,1500m,,,,,,,,,,,,,,
22688757,Wohnung,1350,1100,250,55,2,EG,01.03.2020,,1,,30m,400m,4,"Ostring 10, 3006 Bern",,bern,26.02.2020,,1946,,,,,,,,,,,,,,,,,,,,,,
22656456,Wohnung,5,,,,2,,nachVereinbarung,,,,,,NaN,3013 Bern BE,06.01.2020,bern,26.02.2020,,,,,,,,,,,,,,,,,,,,,,,,
22673675,Wohnung,850,,,,1,3.Stock,nachVereinbarung,1,,,,,NaN,3027 Bern BE,02.01.2020,bern,26.02.2020,,,,,,,,,,,,,,,,,,,,,,,,
22464483,Wohnung,2390,2290,100,70,3.5,,sofort,1,1,,210m,10m,NaN,"Waffenweg 10/12, 3014 Bern",,bern,26.02.2020,,,,1,,,190m,470m,,,,1,,,,,,,,,,,,
22679222,Wohnung,930,760,170,28,1,1.Stock,sofort,,1,,,,3,"Eigerstrasse 78, 3007 Bern",03.01.2020,bern,26.02.2020,,1956,,1,,,,,,,,,,,,,,,,,,,,
22669668,Wohnung,615,600,15,20,1,6.Stock,nachVereinbarung,1,1,,,,NaN,3014 Bern BE,31.12.2019,bern,26.02.2020,,,,,,,,,,,,,,,,,,,,,,,,
22660694,Wohnung,850,650,200,,1,EG,sofort,,,,,,NaN,"Bümplizstrasse 42, 3027 Bern",28.12.2019,bern,26.02.2020,,,,,,1,,,,,,,,,,,,,,,,,,
22921052,Wohnung,1240,1020,220,,2.5,3.Stock,01.04.2020,1,,,,,NaN,"Bümplizstrasse 42, 3027 Bern",31.12.2019,bern,26.02.2020,,,1,,,,,,,,,,,,,,,,,,,,,
22646355,Wohnung,2500,2220,280,,,,01.07.2020,1,1,,230m,600m,NaN,"Spitalackerstrasse 23, 3013 Bern",,bern,26.02.2020,,,,,,1,120m,300m,,,,,,,,,1,,,,,,,
22777264,Wohnung,1350,,,,2.5,,nachVereinbarung,,,,,,NaN,3008 Bern BE,24.12.2019,bern,26.02.2020,,,,,,,,,,,,,,,,,,,,,,,,
22673571,Wohnung,628,,,,1,3.Stock,nachVereinbarung,1,,,,,NaN,"Effingerstrasse, 3008 Bern BE",02.01.2020,bern,26.02.2020,,,,,,,,,,,,,,,,,,,,,,,,
22658197,Wohnung,1440,1290,150,47,2,EG,15.04.2020,1,,,100m,300m,3,"Greyerzstrasse 93, 3013 Bern",,bern,26.02.2020,,1936,,,,,,,,,,,,,,,,,,,,,,
22641154,Wohnung,1700,,,48,1.5,5.Stock,nachVereinbarung,1,1,,,,2,3012 Bern BE,23.12.2019,bern,26.02.2020,,2017,,,,,,,,,1,,,,,,,,,,,,,
22670104,Wohnung,1900,,,,3.5,,nachVereinbarung,,,,,,NaN,3012 Bern BE,31.12.2019,bern,26.02.2020,,,,,,,,,,,,,,,,,,,,,,,,
22634101,Wohnung,1690,1420,270,,2.5,,sofort,1,,,340m,980m,NaN,"Elfenauweg 7, 3006 Bern",,bern,26.02.2020,,,,,,,1980m,170m,,,,,,,,1,,,,,,,,
22630891,Wohnung,1250,1120,130,40,1,5.Stock,01.04.2020,1,1,1,,,NaN,"Schwarztorstrasse 25, 3007 Bern",,bern,26.02.2020,,,,,,,,,,,,,,,,,,,,,,,,
22930239,Wohnung,1420,1250,170,55,2,,sofort,1,1,1,100m,100m,NaN,"Mittelstrasse 66, 3012 Bern",,bern,26.02.2020,,,,,1,,250m,250m,250m,,,,,,,1,,,,,,,,
22631450,Wohnung,1860,1650,210,70,3,Untergeschoss,sofort,1,1,,290m,290m,3,"Schönburgstrasse 56, 3013 Bern",,bern,26.02.2020,,1960,,,,,340m,670m,,,,,,,,,,,,,,,,
22630543,Wohnung,880,700,180,31,1,5.Stock,01.03.2020,1,1,,200m,200m,NaN,"Giacomettistrasse 6, 3006 Bern",20.12.2019,bern,26.02.2020,,,,,,,,,,,,,,,,,,,,,,,,
22629120,Wohnung,,,130,29,1,3.Stock,sofort,,,,,,NaN,"Friedheimweg 20, 3007 Bern BE",20.12.2019,bern,26.02.2020,,,,1,1,,,,,,,,,,,,,,,,,,850,720
22627730,Wohnung,1520,1290,230,73,3,10.Stock,01.03.2020,,1,,750m,600m,4,"Holligenstrasse 121, 3008 Bern",19.12.2019,bern,26.02.2020,,1961,,1,,,900m,,,1200m,,,,,,,,,,,,,,
22626059,Wohnung,1420,1250,170,50,,,01.04.2020,1,1,,100m,250m,NaN,"Mittelstrasse 66, 3012 Bern",19.12.2019,bern,26.02.2020,,,1,,1,1,100m,100m,250m,,,,,,,,,,,,,,,
22629805,Wohnung,2130,1950,180,66,2.5,EG,sofort,1,1,,200m,900m,3,"Hostettlerweg 4, 3006 Bern",20.12.2019,bern,26.02.2020,,2016,,1,,1,140m,140m,140m,900m,1,,,,,,,,,,,,,
22634099,Wohnung,1895,1720,175,,2,4.Stock,01.05.2020,,1,,,,NaN,"Postgasse 18, 3011 Bern",20.12.2019,bern,26.02.2020,,,,,,,,,,,,,,,,,,,,,,,,
22629804,Wohnung,2820,2550,270,98,3.5,1.Stock,sofort,1,1,,200m,900m,3,"Hostettlerweg 4, 3006 Bern",20.12.2019,bern,26.02.2020,,2016,,1,,1,140m,140m,140m,900m,1,,,,,,,,,,,,,
22848197,Wohnung,3155,2890,265,,3.5,4.Stock,nachVereinbarung,1,1,,120m,10m,NaN,"Moserstrasse 33, 3014 Bern",,bern,26.02.2020,90,2019,,,1,1,620m,390m,,2000m,1,,,,,,1,,,,,,,
22621887,Wohnung,990,840,150,,1,3.Stock,sofort,,1,,50m,100m,NaN,"Belpstrasse 45, 3007 Bern",,bern,26.02.2020,,,,,1,,,,,,,,,,,,,,,,,,,
22586867,Wohnung,2450,,,124,3.5,3.Stock,nachVereinbarung,1,1,,,,NaN,"Stöckackerstrasse 102, 3018 Bern BE",12.12.2019,bern,26.02.2020,,,,,1,,,,,,1,1,,,,,,,,,,,,
22394497,Wohnung,1690,1450,240,63,3,2.Stock,nachVereinbarung,,1,,,,NaN,"Monbijoustrasse 114, 3007 Bern",17.12.2019,bern,26.02.2020,,,,,,,,,,,,,,,,,,,,,,,,
22624636,Wohnung,1540,1350,190,59,2.5,4.Stock,01.04.2020,,,,,,3,"Gutenbergstr. 39, 3011 Bern",19.12.2019,bern,26.02.2020,,1934,,1,,,,225m,,,,,,,,,,,,,,,,
22716586,Wohnung,1700,1450,250,72,3.5,1.Stock,sofort,1,1,,480m,530m,NaN,"Holenackerstrasse 7, 3027 Bern",,bern,26.02.2020,,,,,,,260m,770m,,,1,,,,,,,,,,,,,
22789961,Wohnung,1460,1250,210,60,3,3.Stock,sofort,1,,,220m,330m,3,"Waldmannstrasse 7, 3027 Bern",,bern,26.02.2020,,1962,,,1,1,180m,190m,,,,,,,,,,,,,,,,
22583828,Wohnung,1365,1175,190,51,2.5,5.Stock,sofort,,1,,30m,30m,4,"Brunnmattstrasse 20 A, 3007 Bern",,bern,26.02.2020,,1974,,,,,,,,,,,,,,,,,,,,,,
22485331,Wohnung,550,,,,4,,nachVereinbarung,,,,,,NaN,3013 Bern BE,27.01.2020,bern,26.02.2020,,,,,,,,,,,,,,,,,,,,,,,,
22604923,Wohnung,2650,2450,200,98,4,1.Stock,01.03.2020,1,,,,,NaN,"Primelweg 1, 3004 Bern",,bern,26.02.2020,112,,,1,1,1,,,,,,,,,92m³,,,,,,,,,
22919678,Wohnung,1550,1350,200,71,2.5,1.Stock,sofort,1,,,,,NaN,"Stapfenackerstrasse 50, 3018 Bern",11.12.2019,bern,26.02.2020,,,1,,,,,,,,,,,,,,,,,,,,,
22571175,Attika,3850,3330,520,155,5.5,4.Stock,01.03.2020,1,1,,100m,100m,NaN,"Frohbergweg 7, 3012 Bern",,bern,26.02.2020,,,,1,1,1,,,,,1,,,1,,,,,,,,,,
22578189,Wohnung,2870,2490,380,,2,1.Stock,sofort,1,1,,,,NaN,"Junkerngasse 16, 3011 Bern",11.12.2019,bern,26.02.2020,,,,,,,,,,,1,,,,,,,,,,,,,
22570932,Wohnung,1330,1190,140,45,2,3.Stock,01.03.2020,,,,,,3,"Buristr. 6, 3006 Bern",10.12.2019,bern,26.02.2020,,1967,,1,1,,,,,,,,,,,,,,,,,,,
22579121,Dachwohnung,3060,2680,380,,2,4.Stock,sofort,,1,,,,NaN,"Junkerngasse 16, 3011 Bern",11.12.2019,bern,26.02.2020,,,,,,,,,,,1,,,,,,,,,,,,,
23025899,Maisonette,2175,1900,275,100,3,,nachVereinbarung,,,,,,NaN,3014 Bern,11.12.2019,bern,26.02.2020,,,,,,,,,,,,,,,,,,,,,,,,
22568524,Wohnung,1540,1300,240,,3.5,EG,,1,,,,,NaN,"Eigerstrasse 6, 3007 Bern",09.12.2019,bern,26.02.2020,,,,,,,,,,,,,,,,,,,,,,,,
22575321,Wohnung,1555,1285,270,73,3.5,4.Stock,01.03.2020,,,,,,4,"Spitalackerstrasse 20 a, 3013 Bern",,bern,26.02.2020,,1966,,,,,,,,,,,,,,,,,,,,,,
22193572,Wohnung,3050,2850,200,140,4.5,1.Stock,15.07.2020,1,,1,,,NaN,"Muristrasse 7, 3006 Bern",09.12.2019,bern,26.02.2020,,,1,1,1,,,,,,,,,,,,,,,,,,,
22570265,Wohnung,2800,2500,300,110,4.5,2.Stock,nachVereinbarung,1,,,,,NaN,"Seminarstrasse 11, 3006 Bern",,bern,26.02.2020,,,,,,,,,,,,,,,,,,,,,,,,
22979611,Wohnung,3850,3500,350,145,5,3.Stock,01.04.2020,1,1,,,,NaN,"Dufourstrasse 23, 3005 Bern",,bern,26.02.2020,,,,1,1,,,,,,,1,,,,,1,,,,,,,
23018296,Wohnung,2690,2300,390,143,3,4.Stock,15.03.2020,,,,,,4,"Kramgasse 9, 3011 Bern",06.12.2019,bern,26.02.2020,,1900,,,,,,,,,,,,,,,,,,,,,,
23025182,Wohnung,300,,,,1,,nachVereinbarung,,,,,,NaN,3011 Bern BE,09.12.2019,bern,26.02.2020,,,,,,,,,,,,,,,,,,,,,,,,
22856274,Wohnung,2350,2100,250,84,2.5,4.Stock,nachVereinbarung,1,1,,120m,80m,NaN,"Dufourstrasse 23, 3005 Bern",,bern,26.02.2020,,,,1,1,,920m,,,,,,,,,,,,,,,,,
22543224,Wohnung,2800,2500,300,134,6,2.Stock,nachVereinbarung,1,1,,,,NaN,"Morillonstrasse 16, 3007 Bern",05.12.2019,bern,26.02.2020,,,,,,,,,,,,,,,,,,,,,,,,
22535127,Wohnung,2295,2025,270,103,3.5,3.Stock,01.04.2020,,,,,,5,"Weltpoststrasse 8b, 3015 Bern",,bern,26.02.2020,,2012,,,,,,,,,,,,,253m³,,,,,,,,,
22548756,Attika,2790,2600,190,85,3.5,3.Stock,sofort,,,,200m,800m,NaN,"Gryphenhübeliweg 28, 3006 Bern",,bern,26.02.2020,,1953,,,,,,,,,,,,,,,,,,,,,,
22549464,Wohnung,1740,1520,220,70,3,1.Stock,01.03.2020,1,,,50m,400m,3,"Reiterstrasse 17, 3013 Bern",05.12.2019,bern,26.02.2020,,1949,,,,,,,,,,,,,,,,,,,,,,
22562918,Wohnung,1200,,,25,1.5,,01.03.2020,,,,,,NaN,3014 Bern,09.12.2019,bern,26.02.2020,,,,,,,,,,,,,,,,,,,,,,,,
22542085,Wohnung,2800,2500,300,134,6,2.Stock,,,,,,,NaN,3007 Bern,05.12.2019,bern,26.02.2020,,,,,,,,,,,,,,,,,,,,,,,,
22940495,Wohnung,1570,1320,250,,3,EG,sofort,1,,,60m,150m,NaN,"Güterstrasse 14, 3008 Bern",01.12.2019,bern,26.02.2020,,,,1,1,1,,,,400m,1,,,,,,,,,,,,,
22716577,Wohnung,1450,1250,200,50,2.5,,01.03.2020,1,,,100m,500m,3,"Wylerfeldstrasse 36, 3014 Bern",,bern,26.02.2020,,1946,,,,,,,,,,,,,,1,,,,,,,,
22528880,Wohnung,3870,3500,370,151,5.5,2.Stock,sofort,1,1,,450m,,NaN,"Wildhainweg 7, 3012 Bern",03.12.2019,bern,26.02.2020,,2005,1,,1,1,,,,1300m,1,,,,,,,,,,,,,
22517122,Wohnung,1930,1630,300,,3.5,3.Stock,sofort,1,1,1,100m,100m,NaN,"Schönburgstrasse 58, 3013 Bern",,bern,26.02.2020,,,,,1,,,,,1000m,1,,,,,,,,,,,,,
22879575,Wohnung,1150,1000,150,49,2,2.Stock,sofort,,,,,,NaN,"Freiburgstrasse 431, 3018 Bern",03.12.2019,bern,26.02.2020,,,,,1,,,,,,,,,,,,,,,,,,,
22535394,Wohnung,765,,,14,1,2.Stock,nachVereinbarung,1,1,,,,NaN,"Bethlehemstrasse 171, 3018 Bern BE",04.12.2019,bern,26.02.2020,,,,,,,,,,,1,,1,,,,,,,,,,,
22539051,Wohnung,1935,1685,250,78,3.5,1.Stock,sofort,1,1,,,,NaN,"Billeweg 24, 3027 Bern",04.12.2019,bern,26.02.2020,,,,1,1,,,,,,1,,1,,,,,,,,,,,
22519198,Wohnung,aufAnfrage,,,260,4,1.Stock,sofort,,,1,420m,610m,NaN,"Junkerngasse, 3011 Bern",,bern,26.02.2020,260,,,,,,3560m,,,,,,,1,,,,,,,,,,
23018297,Wohnung,1370,1180,190,,2.5,2.Stock,,,,,,,NaN,"Brunngasse 19, 3011 Bern",04.12.2019,bern,26.02.2020,,,,,,,,,,,,,,,,,,,,,,,,
22881998,Wohnung,1450,1250,200,77,3.5,1.Stock,nachVereinbarung,1,,,,,NaN,"Freiburgstrasse 431, 3018 Bern",03.12.2019,bern,26.02.2020,,,,,1,,,,,,,,,,,,,,,,,,,
22505369,Dachwohnung,1650,1450,200,,2.5,5.Stock,sofort,,,1,5m,20m,NaN,"Länggassstrasse 32A, 3012 Bern",,bern,26.02.2020,,,,,,,,,,,,,,1,,,,,,,,,,
22562773,Wohnung,1620,1490,130,50,2,EG,01.03.2020,,,,50m,100m,NaN,"Sonnenhofweg 7, 3006 Bern",,bern,26.02.2020,,,,,,,,,,,,,,,,,,,,,,,,
22919654,Wohnung,1500,1200,300,,3.5,1.Stock,sofort,1,,,,,NaN,"Libellenweg 5, 3006 Bern",25.11.2019,bern,26.02.2020,,,1,,1,,,,,,,,,,,,,,,,,,,
22121564,Wohnung,1990,1720,270,75,3.5,4.Stock,sofort,,1,,,,NaN,"Breitenrainstrasse 27, 3013 Bern",,bern,26.02.2020,,,,,,,,,,,,,,1,,,,,,,,,,
22852017,Dachwohnung,1780,1500,280,65,3,2.Stock,nachVereinbarung,1,,,,,NaN,3007 Bern,25.11.2019,bern,26.02.2020,,,1,,,,,,,,,,,,,,,,,,,,,
22500114,Wohnung,2100,1900,200,77,3.5,2.Stock,01.03.2020,1,,,,,NaN,"Morillonstrasse 4, 3007 Bern",,bern,26.02.2020,,,,,,,,,,,,,,,,,,,,,,,,
22513324,Wohnung,1450,,,75,3.5,,01.03.2020,,,,,,NaN,"Schenkstrasse 57, 3008 Bern",01.12.2019,bern,26.02.2020,,,,,,,,,,,,,,,,,,,,,,,,
23024695,Wohnung,750,,,,1,,nachVereinbarung,,,,,,NaN,3014 Bern BE,29.11.2019,bern,26.02.2020,,,,,,,,,,,,,,,,,,,,,,,,
22486129,Wohnung,1380,1200,180,50,,5.Stock,01.03.2020,1,1,,570m,250m,NaN,"Gotenstrasse 21, 3018 Bern",,bern,26.02.2020,,,,,,,310m,1040m,,,,,,,,,,,,,,,,
22487418,Wohnung,1840,1640,200,85,3.5,2.Stock,nachVereinbarung,1,,1,330m,1290m,NaN,"Segantinistrasse 20, 3006 Bern",,bern,26.02.2020,,,,,,,120m,300m,,,,,,,,,,,,,,,,
22456492,Wohnung,840,740,100,27,1,2.Stock,sofort,1,,,100m,200m,4,"Sonnenhofweg 12, 3006 Bern",,bern,26.02.2020,,1952,,,,,,,,,,,,,,,,,,,,,,
22458297,Wohnung,2470,2200,270,84,3.5,EG,sofort,,,,100m,300m,NaN,"Cäcilienstrasse 14, 3007 Bern",21.11.2019,bern,26.02.2020,,1916,,,,,500m,300m,300m,,,,,,,,,,,,,,,
22778088,Wohnung,2450,2200,250,120,3,3.Stock,sofort,,,,,,NaN,"Gerechtigkeitsgasse 77, 3011 Bern",15.11.2019,bern,26.02.2020,,,,,,,,,,,,,,1,,,,,,,,,,
22412628,Wohnung,2600,2400,200,112,4,EG,,,1,,,,NaN,"Gutenbergstrasse 27, 3011 Bern",14.11.2019,bern,26.02.2020,112,,1,,1,,,,,,,,,,,,,,,,,,,
22461911,Wohnung,4550,4050,500,170,7,1.Stock,nachVereinbarung,,1,,,,NaN,"Bernastrasse 57, 3005 Bern",22.11.2019,bern,26.02.2020,,,,,,,,,,,,,,,,,,,,,,,,
22535492,Wohnung,2100,1900,200,70,3,3.Stock,nachVereinbarung,,,,,,2,"Jubiläumsstrasse 54, 3005 Bern BE",21.11.2019,bern,26.02.2020,,1934,,,1,,,,,,,,,,,,,,,,,,,
22412060,Wohnung,2350,2050,300,,4.5,2.Stock,sofort,1,,1,,250m,NaN,"Scharnachtalstrasse 12, 3006 Bern",,bern,26.02.2020,,,,,,,,300m,,,,,,1,,,,,,,,,,
22709261,Wohnung,1620,1400,220,,3,2.Stock,01.03.2020,1,1,,,,NaN,"Bottigenstrasse 22, 3018 Bern",20.11.2019,bern,26.02.2020,,,1,,,,,,,,,,,,,,,,,,,,,
22716581,Wohnung,1840,1640,200,83,3,8.Stock,sofort,1,1,,50m,50m,NaN,"Winkelriedstrasse 7, 3014 Bern",,bern,26.02.2020,,,,,,,100m,100m,250m,,1,,1,,,,,,,,,,,
22801397,Wohnung,40,,,,1,,nachVereinbarung,,,,,,NaN,3014 Bern BE,19.11.2019,bern,26.02.2020,,,,,,,,,,,,,,,,,,,,,,,,
22409350,Wohnung,2985,2700,285,,4,1.Stock,nachVereinbarung,1,1,,120m,10m,NaN,"Moserstrasse 33, 3014 Bern",,bern,26.02.2020,99,2019,,,1,1,620m,390m,,,1,1,,,,,1,,,,,,,
22440482,Maisonette,1530,1340,190,,2.5,4.Stock,sofort,,,,,,NaN,"Breitenrainstrasse 15, 3013 Bern",06.11.2019,bern,26.02.2020,,,,,,,,,,,,,,,,,,,,,,,,
22371514,Wohnung,1440,1250,190,,3,2.Stock,sofort,1,,,210m,30m,NaN,"Brünnenstrasse 105, 3018 Bern",,bern,26.02.2020,,,,,,,280m,610m,,,,,,,,,,,,,,,,
22696121,Wohnung,1500,1350,150,60,2.5,4.Stock,nachVereinbarung,,,,,,NaN,"Thunstrasse 93, 3006 Bern",,bern,26.02.2020,,,,,1,,,,,,,,,,,,,,,,,,,
22783178,Dachwohnung,3890,3540,350,120,5,3.Stock,sofort,1,,,100m,250m,NaN,"Diesbachstrasse 10, 3012 Bern",13.11.2019,bern,26.02.2020,,1906,,,1,,,,,500m,,,,,,,,,,,,,,
22387120,Wohnung,1390,1190,200,54,3,3.Stock,sofort,,,,,,NaN,"Untermattweg 76, 3027 Bern",15.01.2020,bern,26.02.2020,,,,,1,,,,,,,,,,,,,,,,,,,
22410815,Wohnung,1515,1315,200,60,3.5,3.Stock,sofort,1,,,100m,100m,4,"Egelgasse 70 / 70a, 3006 Bern",,bern,26.02.2020,,1961,,,,,,,,,,,,,,,,,,,,,,
22568122,Wohnung,1500,1300,200,,2.5,1.Stock,sofort,1,,,300m,700m,NaN,"Stapfenackerstrasse 50, 3018 Bern",11.12.2019,bern,26.02.2020,,,,,1,,,200m,,,1,,,,,,,,,,,,,
22413228,Wohnung,2950,2650,300,105,4.5,EG,sofort,,,,100m,300m,NaN,"Cäcilienstrasse 14, 3007 Bern",14.11.2019,bern,26.02.2020,,1916,,,,,500m,300m,300m,,,,,,,,,,,,,,,
22866995,Wohnung,1700,,,,3,,nachVereinbarung,,,,,,NaN,3007 Bern BE,14.11.2019,bern,26.02.2020,,,,,,,,,,,,,,,,,,,,,,,,
22349596,Wohnung,1390,1190,200,,3,4.Stock,sofort,1,,,100m,100m,NaN,"Schlossstrasse 125, 3008 Bern",,bern,26.02.2020,,,,,,,,,,,,,,,,,,,,,,,,
