,object_type,price,price_wo_extras,extras,size,rooms,floor,moovIn,balcony,lift,public_transport,shopping,rating,adress,publication_date,city,DateofScrapping,age,parking_out,pets_allowed,tv,kids_ok,KG,PS,SS,highway,parking_in
22985339,Wohnung,1700.0,1490.0,210.0,82.0,3.5,2.0,01.04.2020,1.0,,150.0,,4.0,"Heckenweg 4, 3007 Bern",2020-02-19,bern,2020-02-26,1961,,,,,,500.0,500.0,,
22985624,Attika,1730.0,1550.0,180.0,43.0,2.0,5.0,01.05.2020,,,,,,"Brückfeldstr. 19, 3012 Bern",2020-02-19,bern,2020-02-26,1976,,1.0,,,,,,,
22983541,Wohnung,1530.0,,,62.0,2.5,,01.04.2020,,,,,,"Grünerweg 5, 3013 Bern",2020-02-19,bern,2020-02-26,,,,,,,,,,
22984174,Wohnung,1700.0,1490.0,210.0,82.0,3.5,2.0,,,,,,,3007 Bern,2020-02-19,bern,2020-02-26,,,,,,,,,,
22985498,Wohnung,2300.0,2050.0,250.0,120.0,3.0,3.0,sofort,,,,100.0,,"Gerechtigkeitsgasse 77, 3011 Bern",,bern,2020-02-26,,,,,,,,,,
22984975,Wohnung,690.0,,,12.0,1.0,1.0,sofort,1.0,1.0,,,,"Weiermattstr 74, 3027 Bern BE",2020-02-19,bern,2020-02-26,,,,1.0,,,,,,
22988283,Wohnung,1370.0,1150.0,220.0,,3.0,9.0,sofort,1.0,1.0,,,,"Looslistrasse 66, 3027 Bern",2020-02-19,bern,2020-02-26,,,,,,,,,,
22981792,Wohnung,1330.0,1050.0,280.0,65.0,3.0,,01.06.2020,,,,400.0,5.0,"Goumoensstrasse 43, 3007 Bern",2020-02-19,bern,2020-02-26,1948,,1.0,1.0,,200.0,1100.0,1100.0,,
22978925,Wohnung,3160.0,2860.0,300.0,122.0,4.5,4.0,01.05.2020,1.0,1.0,20.0,20.0,,"Viktoriastrasse 21, 3013 Bern",2020-02-18,bern,2020-02-26,,,1.0,,,300.0,500.0,500.0,2000.0,1.0
22983111,Wohnung,1250.0,1080.0,170.0,55.0,2.0,3.0,01.04.2020,1.0,,,,,"Seftigenstrasse 93, 3007 Bern",2020-02-19,bern,2020-02-26,,,1.0,,,,,,,1.0
22983220,Wohnung,1690.0,1400.0,290.0,,3.5,2.0,sofort,1.0,1.0,,,,"Könizstrasse 29, 3008 Bern",,bern,2020-02-26,,,,1.0,,,,,,
22983138,Wohnung,1330.0,1050.0,280.0,65.0,3.0,0.0,01.06.2020,,,200.0,400.0,5.0,"Goumoensstrasse 43, 3007 Bern",2020-02-19,bern,2020-02-26,1948,,1.0,1.0,,200.0,1100.0,1100.0,,
22992546,Wohnung,920.0,,,,2.0,,nachVereinbarung,,,,,,3018 Bern BE,2020-02-19,bern,2020-02-26,,,,,,,,,,
